"","recRank","college","recCommits","year","conference"
"1",1,"Alabama",24,"2015","SEC"
"2",2,"Florida State",21,"2015","ACC"
"3",3,"USC",24,"2015","Pac-12"
"4",4,"Clemson",26,"2015","ACC"
"5",5,"Tennessee",27,"2015","SEC"
"6",6,"Ohio State",27,"2015","Big Ten"
"7",7,"Auburn",27,"2015","SEC"
"8",8,"Georgia",30,"2015","SEC"
"9",9,"Texas",28,"2015","Big 12"
"10",10,"LSU",25,"2015","SEC"
"11",11,"UCLA",19,"2015","Pac-12"
"12",12,"Texas A&M",25,"2015","SEC"
"13",13,"Notre Dame",24,"2015","Independent"
"14",14,"Penn State",25,"2015","Big Ten"
"15",15,"Oregon",23,"2015","Pac-12"
"16",16,"Mississippi State",28,"2015","SEC"
"17",17,"Oklahoma",24,"2015","Big 12"
"18",18,"Missouri",23,"2015","SEC"
"19",19,"Ole Miss",22,"2015","SEC"
"20",20,"Florida",21,"2015","SEC"
"21",21,"South Carolina",31,"2015","SEC"
"22",22,"Arkansas",24,"2015","SEC"
"23",23,"Miami",22,"2015","ACC"
"24",24,"North Carolina",19,"2015","ACC"
"25",25,"Virginia Tech",24,"2015","ACC"
"26",26,"Arizona State",23,"2015","Pac-12"
"27",27,"Stanford",22,"2015","Pac-12"
"28",28,"Washington",24,"2015","Pac-12"
"29",29,"Michigan State",20,"2015","Big Ten"
"30",30,"Louisville",25,"2015","ACC"
"31",31,"Nebraska",20,"2015","Big Ten"
"32",32,"Baylor",20,"2015","Big 12"
"33",33,"NC State",22,"2015","ACC"
"34",34,"Oklahoma State",22,"2015","Big 12"
"35",35,"Texas Tech",20,"2015","Big 12"
"36",36,"West Virginia",23,"2015","Big 12"
"37",37,"TCU",21,"2015","Big 12"
"38",38,"Wisconsin",21,"2015","Big Ten"
"39",39,"Arizona",25,"2015","Pac-12"
"40",40,"Michigan",14,"2015","Big Ten"
"41",41,"Georgia Tech",27,"2015","ACC"
"42",42,"Wake Forest",24,"2015","ACC"
"43",43,"Kentucky",23,"2015","SEC"
